PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
2803102,16007703,99,2016-01-13T12:45:00,"5700 Block Pocussett ST Pittsburgh, PA 15217",N,Squirrel Hill South,4,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1413,5,3,-79.92542639,40.42942623
2803812,16007612,7,2016-01-13T13:00:00,"700 Block S Millvale AV Pittsburgh, PA 15213",N,Bloomfield,5,MTR VEH THEFT (AUTO),3921(a) Theft by Unlawful Taking or Disposition - Movable item,809,7,2,-79.94768397,40.45597993
2802547,16007611,18,2016-01-13T13:07:00,"900 Block Penn AV Pittsburgh, PA 15222",Y,Golden Triangle/Civic Arena,2,OPIUM/COCAINE/DERV(SALE/MFG),13(a)(16) Possession of Controlled Substance / 13(a)(30)* Delivery of Controlled Substance,201,6,6,-79.99804356,40.4436107
2803829,16007613,18,2016-01-13T13:10:00,"5500 Block Margaretta ST Pittsburgh, PA 15206",Y,Garfield,5,OPIUM/COCAINE/DERV(SALE/MFG),13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 9501 Bench Warrant / 7512 Criminal Use of Communication,1114,9,2,-79.93016028,40.46837078
2807575,16017871,14,2016-01-13T13:57:00,"3300 Block Ward ST Pittsburgh, PA 15213",N,South Oakland,4,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",409,3,3,-79.95484339,40.43314887
2803850,16007645,11,2016-01-13T14:00:00,"3600 Block Bethoven ST Pittsburgh, PA 15213",N,Polish Hill,2,THEFT BY DECEPTION,3922 Theft by Deception.,605,7,6,-79.95820296,40.45928661
2804614,16008260,5,2016-01-13T14:00:00,"4400 Block Stanton AV Pittsburgh, PA 15201",N,Stanton Heights,5,BURGLARY/ATTEMPT/RES,3304 Criminal Mischief.,1018,7,2,-79.94054744,40.48206118
2811434,16030387,10,2016-01-13T14:30:00,"700 Block DUNSTER ST PITTSBURGH, PA 15226",Y,Brookline,6,HARRASSMENT/THREAT/ATTEMPT/PHY,"2702 Aggravated Assault. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF",1917,4,4,-80.01190519,40.4021791
2811888,16017825,14,2016-01-13T15:01:00,"Boundary ST Pittsburgh, PA 15213",N,Central Oakland,4,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",406,3,3,-79.95083788,40.43015116
2803095,16007692,99,2016-01-13T15:10:00,"5700 Block Pocussett ST Pittsburgh, PA 15217",N,Squirrel Hill South,4,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1413,5,3,-79.92542639,40.42942623
2803100,16007702,99,2016-01-13T15:15:00,"N Braddock AV & Thomas ST Pittsburgh, PA 15208",N,Homewood South,4,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1303,9,2,-79.89388254,40.44886774
2803106,16007706,6,2016-01-13T15:17:00,"Winton ST & Estella AV Pittsburgh, PA 15211",N,Mount Washington,3,THEFT/ALL OTHERS,2701 Simple Assault. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,1807,3,4,-80.00085729,40.42310179
2803864,16007672,26,2016-01-13T15:30:00,"3200 Block Juliet ST Pittsburgh, PA 15213",Y,South Oakland,4,HARRASSMENT-OTHER,2709(a)(3) Harassment No Legitimate Purpose / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,409,3,3,-79.95663901,40.43164687
2804606,16008221,5,2016-01-13T15:30:00,"3200 Block Juliet ST Pittsburgh, PA 15213",Y,South Oakland,4,BURGLARY/FORCE ENT/RES,3304 Criminal Mischief. / 3503 Criminal Trespass,409,3,3,-79.95663901,40.43164687
2803092,16007689,99,2016-01-13T15:51:00,"300 Block S 9th ST Pittsburgh, PA 15203",Y,South Side Flats,3,NA,9498 302 (Mental),1702,3,4,-79.99041322,40.43090981
2803120,16007773,5,2016-01-13T16:00:00,"100 Block Duffland ST Pittsburgh, PA 15210",N,Carrick,3,BURGLARY/NO FORCE/RES,3502 Burglary.,2902,4,4,-79.98497875,40.39218322
2803096,16007697,99,2016-01-13T16:28:00,"WASHINGTON,PA WASHINGTON, PA ",N,Outside County,OSC,NA,9094 Recovered Stolen Vehicle (OUTSIDE CITY),6699,,,0,0
2803112,16007722,5,2016-01-13T16:40:00,"1800 Block Sundeman ST Pittsburgh, PA 15212",N,Troy Hill-Herrs Island,1,BURGLARY/FORCE ENT/RES,3502 Burglary.,2406,1,1,-79.98117159,40.46732311
2804335,16008137,99,2016-01-13T16:45:00,"Liberty BRDG & Crosstown BL Pittsburgh, PA 15219",N,Golden Triangle/Civic Arena,2,NA,3743 Accidents Involving Damage to Attended Veh. or Property,201,,,0,0
2810925,16007743,99,2016-01-13T16:45:00,"Stanton AV & Samantha WY Pittsburgh, PA 15206",N,Highland Park,5,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1102,7,2,-79.92689162,40.47175015
2813982,16008777,99,2016-01-13T17:00:00,"500 Block SHADYHILL AV PITTSBURGH, PA 15205",Y,Westwood,6,NA,9999 (Misc. Crime),2811,2,5,-80.04930428,40.43216789
2804334,16008134,6,2016-01-13T17:00:00,"300 Block Halket ST Pittsburgh, PA 15213",N,Central Oakland,4,THEFT/PROP-LOST/MISLAID/DEL,3921 Theft by Unlawful Taking or Disposition.,405,3,3,-79.96153972,40.43707805
2803146,16007838,6,2016-01-13T17:00:00,"1300 Block Shady AV Pittsburgh, PA 15217",N,Point Breeze,4,THEFT/ALL OTHERS,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1404,8,3,-79.92134923,40.44548875
2805617,16013659,6,2016-01-13T17:20:00,"800 Block Freeport RD Pittsburgh, PA 15215",Y,Lincoln-Lemington-Belmar,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1201,9,2,-79.89761421,40.48782354
2803126,16007777,6,2016-01-13T17:40:00,"1800 Block Centre AV Pittsburgh, PA 15219",N,Crawford-Roberts,2,THEFT FROM AUTO,3934 Theft from Vehicle,305,6,3,-79.98289274,40.44191944
2803138,16007790,99,2016-01-13T17:51:00,"900 Block Haslage AV Pittsburgh, PA 15212",N,Spring Hill-City View,1,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2620,1,1,-79.99671493,40.46033748
2803132,16007788,99,2016-01-13T18:10:00,"1400 Block Washington BL Pittsburgh, PA 15206",N,Highland Park,5,NA,9124 Drug Investigation,1106,9,2,-79.90854001,40.47045991
2803118,16007770,99,2016-01-13T18:15:00,"700 Block Cedar AV Pittsburgh, PA 15212",Y,Allegheny Center,1,NA,9999 Miscellaneous Report (No Crime),2204,1,1,-80.00151678,40.45298858
2803147,16007841,99,2016-01-13T19:00:00,"300 Block N Dithridge ST Pittsburgh, PA 15213",N,North Oakland,4,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,507,6,3,-79.95384551,40.45170145
2803145,16007830,99,2016-01-13T19:00:00,"40th ST & Butler ST Pittsburgh, PA 15201",N,Lower Lawrenceville,2,NA,3743 Accidents Involving Damage to Attended Veh. or Property,603,7,2,-79.96229068,40.46870715
2804337,16008148,11,2016-01-13T19:00:00,"2800 Block Norabell AV Pittsburgh, PA 15226",N,Brookline,6,IMPERSONATING A PUBLIC SERVANT,4912 Impersonating a Public Servant.,1918,4,4,-80.01617316,40.38744431
2803141,16007804,26,2016-01-13T19:25:00,"North Commons & Federal ST Pittsburgh, PA 15212",Y,Allegheny Center,1,ALL OTHER OFFENSES(EXPT TRAFF),1543 Driving While Operating Privilege is Suspended or Revoked. / 3334 Turning Movements and Required Signals. / 601.12 Interference with Official Duties,2204,1,1,-80.00614067,40.45394151
2803148,16007842,14,2016-01-13T19:50:00,"1300 Block FEDERAL ST Pittsburgh, PA 15212",N,Central Northside,1,CRIMINAL MISCHIEF (AUTO),3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,2206,1,1,-80.00687314,40.45673145
2803150,16007848,99,2016-01-13T20:15:00,"100 Block Clairtonica ST Pittsburgh, PA 15205",Y,Westwood,6,NA,9999 Miscellaneous Report (No Crime),2811,2,5,-80.05656074,40.43904819
2803143,16007822,99,2016-01-13T20:20:00,"1500 Block Beechview AV Pittsburgh, PA 15216",Y,Beechview,6,NA,9497 Aided Case,1916,4,5,-80.02513537,40.41286805
2803151,16007851,21,2016-01-13T20:27:00,"Ohio River Blvd RAMP & West End BRDG Pittsburgh, PA 15233",Y,Chateau,1,DRIVING UNDER INFLUENCE,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%,2108,,,0,0
2803152,16007863,5,2016-01-13T20:30:00,"600 Block Fordham ST Pittsburgh, PA 15226",N,Brookline,6,BURGLARY/FORCE ENT/RES,3502 Burglary.,1918,4,4,-80.02515914,40.39261254
2804322,16008109,5,2016-01-13T21:00:00,"1100 Block MULDOWNEY AV Pittsburgh, PA 15207",N,Lincoln Place,4,BURGLARY/NO FORCE/RES,3921 Theft by Unlawful Taking or Disposition.,3102,5,3,-79.9173457,40.36855824
2803162,16007889,99,2016-01-13T21:00:00,"400 Block Larimer AV Pittsburgh, PA 15206",Y,Larimer,5,NA,9999 Miscellaneous Report (No Crime),1204,9,2,-79.91505288,40.46476168
2803158,16007867,26,2016-01-13T21:00:00,"East Ohio ST & Madison AV Pittsburgh, PA 15212",Y,East Allegheny,1,DRUG PARAPHERNALIA,1543 Driving While Operating Privilege is Suspended or Revoked. / 13(a)(32) Paraphernalia - Use or Possession / 3743 Accidents Involving Damage to Attended Veh. or Property,2304,1,1,-79.99679212,40.4541044
2803159,16007872,99,2016-01-13T21:07:00,"200 Block East Ohio ST Pittsburgh, PA 15212",Y,Allegheny Center,1,NA,3743 Accidents Involving Damage to Attended Veh. or Property,2204,1,1,-80.00366043,40.45302239
2803160,16007879,6,2016-01-13T21:21:00,"4500 Block 5th AV Pittsburgh, PA 15213",N,North Oakland,4,"THEFT M.V. PARTS,ACCESSORIES",3304 Criminal Mischief. / 3934 Theft from Vehicle / 2709 Harassment (Non-Specific),404,8,3,-79.95003197,40.44649275
2805679,16010897,6,2016-01-13T21:30:00,"1100 Block Liberty AV Pittsburgh, PA 15222",N,Golden Triangle/Civic Arena,2,THEFT/PROP-LOST/MISLAID/DEL,3921(a) Theft by Unlawful Taking or Disposition - Movable item,201,7,6,-79.99237413,40.44415497
2803161,16007880,3,2016-01-13T21:30:00,"Federal ST & W North AV Pittsburgh, PA 15212",N,Allegheny Center,1,ROBBERY/HIGHWAY/STRONGARM,3701 Robbery.,2204,1,1,-80.00663235,40.45544902
2803164,16007898,3,2016-01-13T22:04:00,"Alpine AV & Fireman WY Pittsburgh, PA 15212",N,Central Northside,1,ROBBERY/HIGHWAY/GUN,903 Criminal Conspiracy. / 907 Possessing Instruments of Crime. / 2702 Aggravated Assault. / 3701 Robbery.,2503,6,1,-80.00924491,40.45853859
2805103,16008919,24,2016-01-13T23:00:00,"1400 Block Forsythe ST Pittsburgh, PA 15212",N,Marshall-Shadeland,1,HARRASSMENT BY COMUN/ADDRESS,2709(a)(3) Harassment No Legitimate Purpose,2715,1,1,-80.03222902,40.47088999
2803165,16007932,6,2016-01-13T23:41:00,"4700 Block Liberty AV Pittsburgh, PA 15224",N,Bloomfield,5,RETAIL THEFT (SHOPLIFTING),3921(a) Theft by Unlawful Taking or Disposition - Movable item,809,7,2,-79.94990411,40.46203965
2803166,16007934,99,2016-01-13T23:42:00,"5th AV & Shady AV Pittsburgh, PA 15206",N,Shadyside,4,NA,3743 Accidents Involving Damage to Attended Veh. or Property,708,8,3,-79.92071256,40.45289411
2804308,16007944,6,2016-01-13T23:53:00,"2100 Block Webster AV Pittsburgh, PA 15219",N,Middle Hill,2,THEFT FROM BUILDING,3921(a) Theft by Unlawful Taking or Disposition - Movable item,501,6,3,-79.98010872,40.44620816
2805349,16012038,10,2016-01-14T00:01:00,"PPG PL Pittsburgh, PA 15222",N,Golden Triangle/Civic Arena,2,TERRORISTIC THREATS,2706 Terroristic Threats.,201,6,6,-80.00300501,40.44009257
2802545,16007518,7,2016-01-14T00:26:00,"200 Block Moore AV Pittsburgh, PA 15210",Y,Knoxville,3,MTR VEH THEFT (AUTO),3925 Receiving Stolen Property. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,3001,3,4,-79.99039074,40.41133669
2804311,16007974,10,2016-01-14T02:02:00,"2800 Block Breker ST Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,2715,1,1,-80.02899769,40.47003378
2804310,16007972,18,2016-01-14T02:10:00,"10 Block Jacksonia ST Pittsburgh, PA 15212",Y,Central Northside,1,OPIUM/COCAINE/DERV-POSSESS,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,2503,6,1,-80.00805491,40.45822813
2804619,16008276,10,2016-01-14T02:10:00,"3900 Block Liberty AV Pittsburgh, PA 15201",Y,Lower Lawrenceville,2,SIMPLE ASSAULT/INJURY,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",603,7,2,-79.95917371,40.46230908
2804312,16007975,99,2016-01-14T02:30:00,"300 Block Aidyl AV Pittsburgh, PA 15226",Y,Brookline,6,NA,9497 Aided Case,1919,4,4,-80.02755636,40.39531671
2804313,16007986,99,2016-01-14T02:39:00,"1000 Block Sankey AV Pittsburgh, PA 15227",Y,Carrick,3,NA,9999 Miscellaneous Report (No Crime),2904,4,4,-79.9757199,40.3852443
2804314,16007992,23,2016-01-14T03:09:00,"900 Block Amberson AV Pittsburgh, PA 15232",Y,Shadyside,4,PUBLIC DRUNKENESS,5503 Disorderly Conduct. / 5505 Public Drunkenness / 5506 Loitering and Prowling at Night / 3503 Criminal Trespass,703,8,2,-79.93919326,40.44818162
2804353,16008189,6,2016-01-14T04:01:00,"2200 Block Palm beach AV Pittsburgh, PA 15216",N,Beechview,6,THEFT FROM AUTO,3934 Theft from Vehicle,1920,4,5,-80.02627297,40.40382387
2804736,16008453,6,2016-01-14T04:30:00,"1300 Block Boyle ST Pittsburgh, PA 15212",N,Central Northside,1,THEFT FROM AUTO,3934 Theft from Vehicle,2206,1,1,-80.00594516,40.45691926
2808064,16008378,7,2016-01-14T04:30:00,"300 Block Reifert ST Pittsburgh, PA 15210",N,Knoxville,3,MTR VEH THEFT (AUTO),3921(a) Theft by Unlawful Taking or Disposition - Movable item,3001,3,4,-79.99417986,40.40835502
2804252,16008785,99,2016-01-14T07:00:00,"800 Block E WARRINGTON AV Pittsburgh, PA 15210",N,Allentown,3,NA,9124 Drug Investigation,1803,3,4,-79.99357756,40.42153188
2804315,16008046,99,2016-01-14T07:15:00,"3400 Block Ligonier ST Pittsburgh, PA 15201",N,Lower Lawrenceville,2,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,603,7,2,-79.96643069,40.46210743
2804318,16008088,99,2016-01-14T07:47:00,"1000 Block Ft. Duquesne BL Pittsburgh, PA 15222",Y,Golden Triangle/Civic Arena,2,NA,9999 Miscellaneous Report (No Crime),201,6,6,-79.99524489,40.44551089
2804317,16008081,99,2016-01-14T08:50:00,"7200 Block Penn AV Pittsburgh, PA 15208",N,Point Breeze North,4,NA,9489 Found Property,1405,9,3,-79.90131328,40.44853293
2804319,16008099,99,2016-01-14T09:00:00,"Saw Mill Run Blvd RAMP & West Liberty AV Pittsburgh, PA 15226",N,Bon Air,3,NA,9999 Miscellaneous Report (No Crime),1806,,,0,0
2804320,16008100,99,2016-01-14T09:00:00,"Saw Mill Run Blvd RAMP & West Liberty AV Pittsburgh, PA 15226",N,Bon Air,3,NA,3743 Accidents Involving Damage to Attended Veh. or Property,1806,,,0,0
2804345,16008173,6,2016-01-14T09:00:00,"3200 Block Motor ST Pittsburgh, PA 15204",N,Sheraden,6,THEFT/ALL OTHERS,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2018,2,5,-80.05530017,40.4579722
2804787,16008517,99,2016-01-14T10:00:00,"5700 Block Pocussett ST Pittsburgh, PA 15217",N,Squirrel Hill South,4,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1413,5,3,-79.92542639,40.42942623
2804342,16008157,99,2016-01-14T10:00:00,"300 Block Main ST Pittsburgh, PA 15201",N,Central Lawrenceville,2,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,902,7,2,-79.95794436,40.46737503
2804326,16008120,99,2016-01-14T10:15:00,"1400 Block Washington BL Pittsburgh, PA 15206",Y,Highland Park,5,NA,9501 Bench Warrant,1106,9,2,-79.90854001,40.47045991
2804328,16008129,3,2016-01-14T10:23:00,"1700 Block Banksville RD Pittsburgh, PA 15216",Y,Beechview,6,ROBBERY GAS STATION GUN,3701 Robbery.,1920,2,5,-80.03414534,40.40706226
2803128,16008170,15,2016-01-14T10:55:00,"2400 Block SHADY AV PITTSBURGH, PA 15207",Y,Squirrel Hill South,4,CARRY WEAPONS ON SCHOOL PROP,912 Possession of Weapon on School Property.,1408,5,3,-79.92063357,40.43002809
2804336,16008142,6,2016-01-14T11:07:00,"400 Block 56th ST Pittsburgh, PA 15201",N,Upper Lawrenceville,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1011,7,2,-79.94809658,40.48435375
2804339,16008156,18,2016-01-14T11:29:00,"Forbes AV & Murray AV Pittsburgh, PA 15217",Y,Squirrel Hill North,4,OPIUM/COCAINE/DERV(SALE/MFG),1501 Drivers Required to be Licensed. / 3542 Right-Of-Way of Pedestrians in Crosswalks. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 3742 Accidents Involving Death or Personal Injury / 3743 Accidents Involving Damage to Attended Veh. or Property / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 13(a)(31) Marijuana: Possession Small Amount,1403,5,3,-79.92298427,40.43805623
2805636,16010812,6,2016-01-14T11:30:00,"2200 Block NOBLESTOWN RD Pittsburgh, PA 15205",N,Westwood,6,RETAIL THEFT (SHOPLIFTING),903 Criminal Conspiracy. / 3929 Retail Theft.,2811,2,5,-80.0539085,40.43007247
2804348,16008179,6,2016-01-14T11:45:00,"200 Block Sylvania AV Pittsburgh, PA 15210",N,Beltzhoover,3,THEFT/ALL OTHERS,3921 Theft by Unlawful Taking or Disposition.,1809,3,4,-80.00380421,40.4172071
2804352,16008183,6,2016-01-14T11:45:00,"5500 Block Butler ST Pittsburgh, PA 15201",N,Upper Lawrenceville,2,"THEFT M.V. PARTS,ACCESSORIES",3921 Theft by Unlawful Taking or Disposition.,1011,7,2,-79.94861618,40.48322108
2804343,16008164,6,2016-01-14T11:50:00,"900 Block Freeport RD Pittsburgh, PA 15238",N,North Oakland,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,507,9,2,-79.89431722,40.48808181
2804648,16008376,6,2016-01-14T12:00:00,"800 Block Penn AV Pittsburgh, PA 15222",N,Golden Triangle/Civic Arena,2,THEFT/ALL OTHERS,3921 Theft by Unlawful Taking or Disposition.,201,6,6,-79.99909277,40.44329071
2804604,16008215,99,2016-01-14T12:00:00,"1900 Block Chislett ST Pittsburgh, PA 15206",N,Morningside,5,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1014,7,2,-79.92429614,40.48672583
2804609,16008231,7,2016-01-14T12:00:00,"Dapper WY & Roup AV Pittsburgh, PA 15232",N,Friendship,5,MTR VEH THEFT (AUTO),3921(a) Theft by Unlawful Taking or Disposition - Movable item,807,7,2,-79.93434408,40.45771021
2804612,16008238,99,2016-01-14T12:00:00,"1900 Block Chislett ST Pittsburgh, PA 15206",N,Morningside,5,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1014,7,2,-79.92429614,40.48672583
2804672,16008379,6,2016-01-14T12:00:00,"200 Block Kaercher ST Pittsburgh, PA 15207",N,Greenfield,4,THEFT FROM AUTO,3934 Theft from Vehicle,1516,5,3,-79.94894061,40.42273922
2805080,16008845,99,2016-01-14T12:00:00,"1600 Block Kiralfy AV Pittsburgh, PA 15216",Y,Beechview,6,NA,9017 Found Drugs,1920,4,5,-80.02184559,40.409627
2804346,16008177,13,2016-01-14T12:10:00,"1600 Block SANDUSKY CT BELLVUE, PA ",Y,Outside City,OSC,RECEIVING STOLEN PROPERTY,3925 Receiving Stolen Property. / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,5599,,,0,0
2806670,16014370,99,2016-01-14T12:13:00,"200 Block Fisk ST Pittsburgh, PA 15201",N,Central Lawrenceville,2,NA,9999 Miscellaneous Report (No Crime),902,7,2,-79.96158405,40.46924037
2810926,16008188,99,2016-01-14T12:15:00,"Beechwood BL & Welfer ST Pittsburgh, PA 15217",N,Greenfield,4,NA,3743 Accidents Involving Damage to Attended Veh. or Property,1517,5,3,-79.92703244,40.42477395
2804605,16008220,6,2016-01-14T12:30:00,"2200 Block Wilner DR Pittsburgh, PA 15221",N,Homewood North,5,MOTOR THEFT (AUTO)-PLATE ONLY,3934 Theft from Vehicle,1301,9,2,-79.86682966,40.45338758
2803964,16009496,99,2016-01-14T12:32:00,"2000 Block 5th AV Pittsburgh, PA 15219",Y,West Oakland,4,NA,9496 Dead on Arrival (DOA),402,6,3,-79.9775296,40.43800271
2804690,16009006,99,2016-01-14T13:00:00,"100 Block Hawthorne CT Pittsburgh, PA 15206",N,Stanton Heights,5,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1018,7,2,-79.93231763,40.48709395
2804597,16008198,10,2016-01-14T13:00:00,"500 Block Herron AV Pittsburgh, PA 15219",Y,Middle Hill,2,SIMPLE ASSAULT/NO INJURY,2701 Simple Assault.,501,6,3,-79.96482656,40.44884808
2804351,16008182,26,2016-01-14T13:00:00,"50 Block 11th ST Pittsburgh, PA 15222",N,Golden Triangle/Civic Arena,2,UNAUTHORIZED USE VEHICLE/AUTO,3928 Unauthorized Use of Automobile and Other Vehicles.,201,3,4,-79.98767223,40.42895953
2804600,16008199,24,2016-01-14T13:04:00,"700 Block Lorenz AV Pittsburgh, PA 15220",N,Elliott,6,HARRASSMENT BY COMUN/ADDRESS,2709 Harassment (Non-Specific),2020,2,5,-80.03924654,40.44511005
2813978,16008212,99,2016-01-14T13:07:00,"1000 Block PERALTA ST PITTSBURGH, PA 15212",N,East Allegheny,1,NA,9999 (Misc. Crime),2304,1,1,-79.99359036,40.45611145
2804033,16009660,99,2016-01-14T13:14:00,"3000 Block Stayton ST Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,NA,2701 Simple Assault. / 4304(a)(1) Endangering Welfare of Children.,2715,1,1,-80.02807703,40.47201958
2804602,16008213,5,2016-01-14T13:18:00,"200 Block Langley ST Pittsburgh, PA 15214",N,Perry South,1,BURGLARY/NO FORCE/RES,3502 Burglary.,2614,6,1,-80.01102302,40.46312597
2806660,16014352,99,2016-01-14T13:30:00,Zone 1,N,,1,NA,3126 Indecent Assault.,,,,,
2804636,16008327,6,2016-01-14T13:48:00,"2000 Block Wharton ST Pittsburgh, PA 15203",N,South Side Flats,3,"THEFT M.V. PARTS,ACCESSORIES",3934 Theft from Vehicle,1702,3,4,-79.97681333,40.43002082
2805900,16013228,6,2016-01-14T14:00:00,"1400 Block Dehaven ST Pittsburgh, PA 15212",N,Troy Hill-Herrs Island,1,THEFT/ALL OTHERS,3921 Theft by Unlawful Taking or Disposition.,2406,1,1,-79.98410113,40.4620901
2804624,16008299,10,2016-01-14T14:09:00,"100 Block Amanda AV Pittsburgh, PA 15210",N,Knoxville,3,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,3001,3,4,-79.98813777,40.41507045
2804785,16008507,99,2016-01-14T14:30:00,"1200 Block Nolan CT Pittsburgh, PA 15221",Y,Homewood North,5,NA,9999 Miscellaneous Report (No Crime),1301,9,2,-79.88689291,40.45943104
2804630,16008275,7,2016-01-14T14:30:00,"70 Block Barry ST Pittsburgh, PA 15203",Y,South Side Slopes,3,MOTOR VEH THEFT/TRUCK-BUS,3921 Theft by Unlawful Taking or Disposition.,1608,3,4,-79.97025872,40.42316438
2813980,16008249,99,2016-01-14T14:32:00,Zone 2,N,,2,NA,9999 (Misc. Crime),,,,,
2805088,16008853,6,2016-01-14T14:48:00,"5600 Block Ellsworth AV Pittsburgh, PA 15232",N,Shadyside,4,THEFT/PROP-LOST/MISLAID/DEL,3921 Theft by Unlawful Taking or Disposition.,703,8,2,-79.93324366,40.45417076
2804613,16008255,99,2016-01-14T14:55:00,"6900 Block Mc Pherson BL Pittsburgh, PA 15208",Y,Point Breeze North,4,NA,9497 Aided Case,1405,9,2,-79.90631518,40.45407785
2804618,16008274,7,2016-01-14T15:00:00,"Spokane AV & Parkfield ST Pittsburgh, PA 15210",N,Carrick,3,MTR VEH THEFT (AUTO),3921(a) Theft by Unlawful Taking or Disposition - Movable item,2904,4,4,-79.99019174,40.39139356
2804633,16008305,4,2016-01-14T15:00:00,"5800 Block Forward AV Pittsburgh, PA 15217",N,Squirrel Hill South,4,DISCHARGE OF FIREARM INTO OCC.STRUCTURE,2707.1 Discharge of a Firearm into Occupied Structure,1414,5,3,-79.92335695,40.4295955
2804617,16008269,24,2016-01-14T15:19:00,"Ohio River BL & McKees Rocks BR Pittsburgh, PA 15212",Y,Brighton Heights,1,OBSTRUCT HIGHWAYS/PUB PASSAGES,5507 Obstructing Highways and Passages.,2701,1,1,-80.04310321,40.47884647
2804615,16008266,15,2016-01-14T15:50:00,"2400 Block Arlington AV Pittsburgh, PA 15210",Y,South Side Slopes,3,ALTERING/OBLITERATING MARKS OF IDENTIFICATION,13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount / 6110.2 Possesion of Firearm with Altered Mfg. Number,1608,3,4,-79.97283879,40.41729197
2804622,16008289,10,2016-01-14T15:55:00,"1st AV & B WY Pittsburgh, PA 15219",Y,Golden Triangle/Civic Arena,2,SIMPLE ASSAULT/NO INJURY,2702 Aggravated Assault. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,201,6,6,-79.99664771,40.43576746
2805125,16008981,99,2016-01-14T15:55:00,"1400 Block Oakglen ST Pittsburgh, PA 15204",N,Crafton Heights,6,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2814,2,5,-80.06085038,40.44901499
2804620,16008284,6,2016-01-14T15:55:00,"1200 Block Haslage AV Pittsburgh, PA 15212",N,Spring Hill-City View,1,THEFT/ALL OTHERS,3921 Theft by Unlawful Taking or Disposition.,2620,1,1,-79.99282224,40.46269137
2804675,16008391,6,2016-01-14T16:01:00,"100 Block Forbes AV Pittsburgh, PA 15222",Y,Golden Triangle/Civic Arena,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,201,6,6,-80.00394607,40.44069712
2811887,16008304,10,2016-01-14T16:19:00,"1300 Block Brookline BL Pittsburgh, PA 15226",Y,Brookline,6,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",3206,4,4,-80.01083007,40.3922169
